Month,MA_Base_bp,Delta_MA_bp,NIBD_Delta_pp,Outflow_M,NII_Impact_M
1,0.0,25.0,-0.3479649894713181,139.18599578852724,7.655229768368998
2,25.0,25.0,-0.3479649894713181,139.18599578852724,7.017293954338248
3,50.0,25.0,-0.3479649894713181,139.18599578852724,6.379358140307499
4,75.0,25.0,-0.3479649894713181,139.18599578852724,5.741422326276749
5,100.0,25.0,-0.3479649894713181,139.18599578852724,5.103486512245999
6,125.0,25.0,-0.3479649894713181,139.18599578852724,4.4655506982152495
7,150.0,25.0,-0.3479649894713181,139.18599578852724,3.827614884184499
8,175.0,25.0,-0.3479649894713181,139.18599578852724,3.1896790701537494
9,200.0,25.0,-0.3479649894713181,139.18599578852724,2.5517432561229993
10,225.0,25.0,-0.3479649894713181,139.18599578852724,1.9138074420922495
11,250.0,25.0,-0.3479649894713181,139.18599578852724,1.2758716280614997
12,275.0,25.0,-0.3479649894713181,139.18599578852724,0.6379358140307498
